"","Area","Item","Element","Year","Value","Unit"
"130342","Africa","All Crops","Biomass burned (dry matter)","1961","20219466.2","tonnes"
"130343","Africa","All Crops","Biomass burned (dry matter)","1962","20788839.55","tonnes"
"130344","Africa","All Crops","Biomass burned (dry matter)","1963","21108897.8","tonnes"
"130345","Africa","All Crops","Biomass burned (dry matter)","1964","21731864.0","tonnes"
"130346","Africa","All Crops","Biomass burned (dry matter)","1965","21845218.7","tonnes"
"130347","Africa","All Crops","Biomass burned (dry matter)","1966","21801801.35","tonnes"
"130348","Africa","All Crops","Biomass burned (dry matter)","1967","22998883.3","tonnes"
"130349","Africa","All Crops","Biomass burned (dry matter)","1968","23591726.3","tonnes"
"130350","Africa","All Crops","Biomass burned (dry matter)","1969","23696198.25","tonnes"
"130351","Africa","All Crops","Biomass burned (dry matter)","1970","23720312.15","tonnes"
"130352","Africa","All Crops","Biomass burned (dry matter)","1971","24007109.65","tonnes"
"130353","Africa","All Crops","Biomass burned (dry matter)","1972","24648560.35","tonnes"
"130354","Africa","All Crops","Biomass burned (dry matter)","1973","23985744.5","tonnes"
"130355","Africa","All Crops","Biomass burned (dry matter)","1974","24954161.0","tonnes"
"130356","Africa","All Crops","Biomass burned (dry matter)","1975","25139470.0","tonnes"
"130357","Africa","All Crops","Biomass burned (dry matter)","1976","25796273.2","tonnes"
"130358","Africa","All Crops","Biomass burned (dry matter)","1977","24637721.75","tonnes"
"130359","Africa","All Crops","Biomass burned (dry matter)","1978","24569790.1","tonnes"
"130360","Africa","All Crops","Biomass burned (dry matter)","1979","24400687.7","tonnes"
"130361","Africa","All Crops","Biomass burned (dry matter)","1980","24495042.5","tonnes"
"130362","Africa","All Crops","Biomass burned (dry matter)","1981","24400746.9","tonnes"
"130363","Africa","All Crops","Biomass burned (dry matter)","1982","25029498.0","tonnes"
"130364","Africa","All Crops","Biomass burned (dry matter)","1983","25997374.2","tonnes"
"130365","Africa","All Crops","Biomass burned (dry matter)","1984","26255470.4","tonnes"
"130366","Africa","All Crops","Biomass burned (dry matter)","1985","27264731.65","tonnes"
"130367","Africa","All Crops","Biomass burned (dry matter)","1986","29578026.0","tonnes"
"130368","Africa","All Crops","Biomass burned (dry matter)","1987","30583893.7","tonnes"
"130369","Africa","All Crops","Biomass burned (dry matter)","1988","31079002.7","tonnes"
"130370","Africa","All Crops","Biomass burned (dry matter)","1989","32330431.25","tonnes"
"130371","Africa","All Crops","Biomass burned (dry matter)","1990","32437072.7","tonnes"
"130372","Africa","All Crops","Biomass burned (dry matter)","1991","32812420.8","tonnes"
"130373","Africa","All Crops","Biomass burned (dry matter)","1992","32738527.1","tonnes"
"130374","Africa","All Crops","Biomass burned (dry matter)","1993","33527546.85","tonnes"
"130375","Africa","All Crops","Biomass burned (dry matter)","1994","34775169.3","tonnes"
"130376","Africa","All Crops","Biomass burned (dry matter)","1995","32972419.65","tonnes"
"130377","Africa","All Crops","Biomass burned (dry matter)","1996","34231789.45","tonnes"
"130378","Africa","All Crops","Biomass burned (dry matter)","1997","33829516.85","tonnes"
"130379","Africa","All Crops","Biomass burned (dry matter)","1998","34068521.55","tonnes"
"130380","Africa","All Crops","Biomass burned (dry matter)","1999","32718126.05","tonnes"
"130381","Africa","All Crops","Biomass burned (dry matter)","2000","32502997.45","tonnes"
"130382","Africa","All Crops","Biomass burned (dry matter)","2001","32547153.95","tonnes"
"130383","Africa","All Crops","Biomass burned (dry matter)","2002","34141464.2","tonnes"
"130384","Africa","All Crops","Biomass burned (dry matter)","2003","37438825.1","tonnes"
"130385","Africa","All Crops","Biomass burned (dry matter)","2004","37147480.8","tonnes"
"130386","Africa","All Crops","Biomass burned (dry matter)","2005","39328987.75","tonnes"
"130387","Africa","All Crops","Biomass burned (dry matter)","2006","38374348.7","tonnes"
"130388","Africa","All Crops","Biomass burned (dry matter)","2007","37916611.1","tonnes"
"130389","Africa","All Crops","Biomass burned (dry matter)","2008","40959429.65","tonnes"
"130390","Africa","All Crops","Biomass burned (dry matter)","2009","40216038.1","tonnes"
"130391","Africa","All Crops","Biomass burned (dry matter)","2010","44077056.0","tonnes"
"130392","Africa","All Crops","Biomass burned (dry matter)","2011","46256104.15","tonnes"
"130393","Africa","All Crops","Biomass burned (dry matter)","2012","48072448.45","tonnes"
"130394","Africa","All Crops","Biomass burned (dry matter)","2013","49603141.15","tonnes"
"130395","Africa","All Crops","Biomass burned (dry matter)","2014","50599466.65","tonnes"
"130396","Africa","All Crops","Biomass burned (dry matter)","2015","50853652.65","tonnes"
"130397","Africa","All Crops","Biomass burned (dry matter)","2016","53233684.4","tonnes"
"130398","Africa","All Crops","Biomass burned (dry matter)","2017","55224346.3","tonnes"
"130399","Africa","All Crops","Biomass burned (dry matter)","2018","54872214.55","tonnes"
"130400","Africa","All Crops","Biomass burned (dry matter)","2019","55844589.55","tonnes"
"130401","Africa","All Crops","Biomass burned (dry matter)","2020","57529774.4","tonnes"
"130402","Africa","All Crops","Biomass burned (dry matter)","2030","48828014.4708","tonnes"
"130403","Africa","All Crops","Biomass burned (dry matter)","2050","56260862.7329","tonnes"
"130404","Africa","All Crops","Emissions (N2O)","1961","1.4154","kilotonnes"
"130405","Africa","All Crops","Emissions (N2O)","1962","1.4552","kilotonnes"
"130406","Africa","All Crops","Emissions (N2O)","1963","1.4776","kilotonnes"
"130407","Africa","All Crops","Emissions (N2O)","1964","1.5212","kilotonnes"
"130408","Africa","All Crops","Emissions (N2O)","1965","1.5292","kilotonnes"
"130409","Africa","All Crops","Emissions (N2O)","1966","1.5261","kilotonnes"
"130410","Africa","All Crops","Emissions (N2O)","1967","1.6099","kilotonnes"
"130411","Africa","All Crops","Emissions (N2O)","1968","1.6514","kilotonnes"
"130412","Africa","All Crops","Emissions (N2O)","1969","1.6587","kilotonnes"
"130413","Africa","All Crops","Emissions (N2O)","1970","1.6604","kilotonnes"
"130414","Africa","All Crops","Emissions (N2O)","1971","1.6805","kilotonnes"
"130415","Africa","All Crops","Emissions (N2O)","1972","1.7254","kilotonnes"
"130416","Africa","All Crops","Emissions (N2O)","1973","1.679","kilotonnes"
"130417","Africa","All Crops","Emissions (N2O)","1974","1.7468","kilotonnes"
"130418","Africa","All Crops","Emissions (N2O)","1975","1.7598","kilotonnes"
"130419","Africa","All Crops","Emissions (N2O)","1976","1.8057","kilotonnes"
"130420","Africa","All Crops","Emissions (N2O)","1977","1.7246","kilotonnes"
"130421","Africa","All Crops","Emissions (N2O)","1978","1.7199","kilotonnes"
"130422","Africa","All Crops","Emissions (N2O)","1979","1.708","kilotonnes"
"130423","Africa","All Crops","Emissions (N2O)","1980","1.7147","kilotonnes"
"130424","Africa","All Crops","Emissions (N2O)","1981","1.7081","kilotonnes"
"130425","Africa","All Crops","Emissions (N2O)","1982","1.7521","kilotonnes"
"130426","Africa","All Crops","Emissions (N2O)","1983","1.8198","kilotonnes"
"130427","Africa","All Crops","Emissions (N2O)","1984","1.8379","kilotonnes"
"130428","Africa","All Crops","Emissions (N2O)","1985","1.9085","kilotonnes"
"130429","Africa","All Crops","Emissions (N2O)","1986","2.0705","kilotonnes"
"130430","Africa","All Crops","Emissions (N2O)","1987","2.1409","kilotonnes"
"130431","Africa","All Crops","Emissions (N2O)","1988","2.1755","kilotonnes"
"130432","Africa","All Crops","Emissions (N2O)","1989","2.2631","kilotonnes"
"130433","Africa","All Crops","Emissions (N2O)","1990","2.2706","kilotonnes"
"130434","Africa","All Crops","Emissions (N2O)","1991","2.2969","kilotonnes"
"130435","Africa","All Crops","Emissions (N2O)","1992","2.2917","kilotonnes"
"130436","Africa","All Crops","Emissions (N2O)","1993","2.3469","kilotonnes"
"130437","Africa","All Crops","Emissions (N2O)","1994","2.4343","kilotonnes"
"130438","Africa","All Crops","Emissions (N2O)","1995","2.3081","kilotonnes"
"130439","Africa","All Crops","Emissions (N2O)","1996","2.3962","kilotonnes"
"130440","Africa","All Crops","Emissions (N2O)","1997","2.3681","kilotonnes"
"130441","Africa","All Crops","Emissions (N2O)","1998","2.3848","kilotonnes"
"130442","Africa","All Crops","Emissions (N2O)","1999","2.2903","kilotonnes"
"130443","Africa","All Crops","Emissions (N2O)","2000","2.2752","kilotonnes"
"130444","Africa","All Crops","Emissions (N2O)","2001","2.2783","kilotonnes"
"130445","Africa","All Crops","Emissions (N2O)","2002","2.3899","kilotonnes"
"130446","Africa","All Crops","Emissions (N2O)","2003","2.6207","kilotonnes"
"130447","Africa","All Crops","Emissions (N2O)","2004","2.6003","kilotonnes"
"130448","Africa","All Crops","Emissions (N2O)","2005","2.753","kilotonnes"
"130449","Africa","All Crops","Emissions (N2O)","2006","2.6862","kilotonnes"
"130450","Africa","All Crops","Emissions (N2O)","2007","2.6542","kilotonnes"
"130451","Africa","All Crops","Emissions (N2O)","2008","2.8672","kilotonnes"
"130452","Africa","All Crops","Emissions (N2O)","2009","2.8151","kilotonnes"
"130453","Africa","All Crops","Emissions (N2O)","2010","3.0854","kilotonnes"
